presentation_title,nber_wp,published_version,eid,comment
LEVERAGE CYCLES AND THE ANXIOUS ECONOMY,,LEVERAGE CYCLES AND THE ANXIOUS ECONOMY,2-s2.0-53349146049,
LIAR'S LOAN --EFFECTS OF LOAN ORIGINATION CHANNEL AND LOAN SALE ON DELINQUENCY,,LIAR'S LOAN? EFFECTS OF ORIGINATION CHANNEL AND INFORMATION FALSIFICATION ON MORTGAGE DELINQUENCY,2-s2.0-84896340072,
"LIFE CYCLE ASSET ALLOCATION: A MODEL WITH BORROWING CONSTRAINTS, UNINSURABLE LABOR INCOME RISK AND STOCK MARKET PARTICIPATION COSTS",,PORTFOLIO CHOICE WITH INTERNAL HABIT FORMATION: A LIFE-CYCLE MODEL WITH UNINSURABLE LABOR INCOME RISK,2-s2.0-0242508471,
LIFE CYCLE CONSUMPTION AND PORTFOLIO CHOICE WITH ADDITIVE HABIT FORMATION PREFERENCES AND UNINSURABLE LABOR INCOME RISK,,LIFE-CYCLE PORTFOLIO CHOICE WITH ADDITIVE HABIT FORMATION PREFERENCES AND UNINSURABLE LABOR INCOME RISK,2-s2.0-33845702123,
LIFE CYCLE PORTFOLIO CHOICE WITH TAXABLE AND TAX DEFERRED ACCOUNTS,,OPTIMAL SAVINGS WITH TAXABLE AND TAX-DEFERRED ACCOUNTS,2-s2.0-69249229678,
LIQUIDITY AND FINANCIAL INTERMEDIATION,,LIQUIDITY AND FINANCIAL INTERMEDIATION,,SED
LIQUIDITY AND THE MARKET FOR IDEAS,,LIQUIDITY AND THE MARKET FOR IDEAS,,SED
LIQUIDITY EFFECTS IN THE BOND MARKETS,8597,LIQUIDITY EFFECTS IN THE BOND MARKETS,,Economic Perspectives
LIQUIDITY NEEDS IN ECONOMIES WITH INTERCONNECTED FINANCIAL OBLIGATIONS,14222,MINIMAL SETTLEMENT ASSETS IN ECONOMIES WITH INTERCONNECTED FINANCIAL OBLIGATIONS,2-s2.0-78751638336,
LOCAL OVERWEIGHTING AND UNDERPERFORMANCE: EVIDENCE FROM LIMITED PARTNER PRIVATE EQUITY INVESTMENTS,17122,LOCAL OVERWEIGHTING AND UNDERPERFORMANCE: EVIDENCE FROM LIMITED PARTNER PRIVATE EQUITY INVESTMENTS,2-s2.0-84872743638,
LONG-RUN RISK THROUGH CONSUMPTION SMOOTHING,,LONG-RUN RISK THROUGH CONSUMPTION SMOOTHING,2-s2.0-77955002060,
LONG-RUN STOCKHOLDER CONSUMPTION RISK AND ASSET RETURNS,,LONG-RUN STOCKHOLDER CONSUMPTION RISK AND ASSET RETURNS,2-s2.0-72249120424,
LOW-FREQUENCY ROBUST COINTEGRATION TESTING,15292,LOW-FREQUENCY ROBUST COINTEGRATION TESTING,2-s2.0-84876105838,
"MACROECONOMIC DERIVATIVES: AN INITIAL ANALYSIS OF MARKET-BASED MACRO FORECASTS, UNCERTAINTY, AND RISK",11929,"MACROECONOMIC DERIVATIVES: AN INITIAL ANALYSIS OF MARKET-BASED MACRO FORECASTS, UNCERTAINTY, AND RISK",,NBER
MACROECONOMIC EFFECTS OF IMF PROGRAMS,,"MACROECONOMIC EFFECTS OF IMF-SPONSORED PROGRAMS IN LATIN AMERICA: OUTPUT COSTS, PROGRAM RECIDIVISM AND THE VICIOUS CYCLE OF FAILED STABILIZATIONS",2-s2.0-0347759860,
"MACROECONOMIC IMPLICATIONS OF HOUSING WEALTH, HOUSING FINANCE, AND LIMITED RISK-SHARING IN GENERAL EQUILIBRIUM",,"THE MACROECONOMIC EFFECTS OF HOUSING WEALTH, HOUSING FINANCE, AND LIMITED RISK SHARING IN GENERAL EQUILIBRIUM",2-s2.0-85009963966,
MACROECONOMIC SWITCHING,,MACROECONOMIC SWITCHING,,FED
MACROECONOMICS OF INTERNATIONAL PRICE DISCRIMINATION,,A MACROECONOMIC MODEL OF INTERNATIONAL PRICE DISCRIMINATION,2-s2.0-15844367076,
"MAKE VS BUY IN TRUCKING: ASSET OWNERSHIP, JOB DESIGN AND INFORMATION",,"MAKE VERSUS BUY IN TRUCKING: ASSET OWNERSHIP, JOB DESIGN, AND INFORMATION",2-s2.0-0344032944,
MANAGEMENT MATTERS,,MANAGEMENT MATTERS,2-s2.0-84859983858,
MARGIN-BASED ASSET PRICING AND DEVIATIONS FROM THE LAW OF ONE PRICE,16777,MARGIN-BASED ASSET PRICING AND DEVIATIONS FROM THE LAW OF ONE PRICE,2-s2.0-79955554018,
"MARGINAL PRODUCT OF CAPITAL, CAPITAL FLOWS AND CONVERGENCE",,"THE MARGINAL PRODUCT OF CAPITAL, CAPITAL FLOWS, AND CONVERGENCE",2-s2.0-77956109058,
MARKET DISTORTIONS WHEN AGENTS ARE BETTER INFORMED: A THEORETICAL AND EMPIRICAL EXPLORATION OF THE VALUE OF INFORMATION IN REAL ESTATE TRANSACTIONS,,MARKET DISTORTIONS WHEN AGENTS ARE BETTER INFORMED: THE VALUE OF INFORMATION IN REALESTATE TRANSACTIONS,2-s2.0-55549123025,
MARKET LIQUIDITY AND FUNDING LIQUIDITY,12939,MARKET LIQUIDITY AND FUNDING LIQUIDITY,2-s2.0-66249141764,
"MARKUPS, GAPS AND ECONOMIC FLUCTUATIONS",,"MARKUPS, GAPS, AND THE WELFARE COSTS OF BUSINESS FLUCTUATIONS",2-s2.0-33947654291,
MATCHING BANKRUPTCY LAWS TO LEGAL ENVIRONMENTS,,MATCHING BANKRUPTCY LAWS TO LEGAL ENVIRONMENTS,2-s2.0-58749101401,
MBS RATINGS AND THE MORTGAGE CREDIT BOOM,,CREDIT RATINGS AND SECURITY PRICES IN THE SUBPRIME MBS MARKET,2-s2.0-79958287249,
MEASURING AGGREGATE PRODUCTIVITY GROWTH USING PLANT-LEVEL DATA,11887,MEASURING AGGREGATE PRODUCTIVITY GROWTH USING PLANT-LEVEL DATA,2-s2.0-84872851040,
MEASURING CHANGES IN THE VALUE OF THE NUMERAIRE,,MEASURING CHANGES IN THE VALUE OF THE NUMERAIRE,,SED
MEASURING DEFAULT RISK PREMIA FROM DEFAULT SWAP RATES AND EDFS,24213,CORPORATE CREDIT RISK PREMIA,2-s2.0-85048279912,
MEASURING THE DYNAMIC EFFECTS OF MONETARY POLICY SHOCKS: A BAYESIAN FAVAR APPROACH WITH SIGN RESTRICTION,,MEASURING THE DYNAMIC EFFECTS OF MONETARY POLICY SHOCKS: A BAYESIAN FAVAR APPROACH WITH SIGN RESTRICTION,,SED
MEASURING THE EFFECTS OF MONETARY POLICY: A FACTOR-AUGMENTED VECTOR AUTOREGRESSIVE (FAVAR) APPROACH,10220,,,
MEASURING THE REACTION OF MONETARY POLICY TO THE STOCK MARKET,8350,MEASURING THE REACTION OF MONETARY POLICY TO THE STOCK MARKET,2-s2.0-0038353805,
MEASURING WHAT EMPLOYERS REALLY DO ABOUT ENTRY WAGES OVER THE BUSINESS CYCLE,15767,MEASURING WHAT EMPLOYERS DO ABOUT ENTRY WAGES OVER THE BUSINESS CYCLE: A NEW APPROACH,2-s2.0-84872200153,
MEDIUM TERM BUSINESS CYCLES,10003,MEDIUM-TERM BUSINESS CYCLES,2-s2.0-33747718069,
MENTAL ACCOUNTING AND CONSUMER CHOICE: EVIDENCE FROM COMMODITY PRICE SHOCKS,18248,FUNGIBILITY AND CONSUMER CHOICE: EVIDENCE FROM COMMODITY PRICE SHOCKS,2-s2.0-84885733304,
METHODOLOGICAL INNOVATIONS IN COLLECTING SPENDING DATA: THE HRS CONSUMPTION AND ACTIVITIES MAIL SURVEY,,METHODOLOGICAL INNOVATIONS IN COLLECTING SPENDING DATA: THE HRS CONSUMPTION AND ACTIVITIES MAIL SURVEY,2-s2.0-72249123015,
"MICRO FRICTIONS, ASSET PRICING, AND AGGREGATE IMPLICATIONS",,"MICRO FRICTIONS, ASSET PRICING, AND AGGREGATE IMPLICATIONS",,SED
MINIMALLY ALTRUISTIC WAGES AND UNEMPLOYMENT IN A MATCHING MODEL,13755,MINIMALLY ALTRUISTIC WAGES AND UNEMPLOYMENT IN A MATCHING MODEL WITH MONOPSONY,2-s2.0-52949128714,
MODEL CONFIDENCE SETS FOR FORECASTING MODELS,,THE MODEL CONFIDENCE SET,2-s2.0-79951527977,
MODEL SELECTION AND FORECAST COMPARISON IN UNSTABLE ENVIRONMENTS,,FORECAST COMPARISONS IN UNSTABLE ENVIRONMENTS,2-s2.0-77953507368,
MODEL UNCERTAINTY AND LIQUIDITY,8683,MODEL UNCERTAINTY AND LIQUIDITY,2-s2.0-69249240199,
MODELING & FORECASTING REALIZED VOLATILITY,8160,MODELING AND FORECASTING REALIZED VOLATILITY,2-s2.0-0037244925,
MODELING MODEL UNCERTAINTY,9566,MODELING MODEL UNCERTAINTY,2-s2.0-4143124696,
MODELING REGIONAL INTERDEPENDENCIES,,MODELING REGIONAL INTERDEPENDENCIES USING A GLOBAL ERROR-CORRECTING MACROECONOMETRIC MODEL,2-s2.0-2142822769,
MOMENTUM CRASHES,,MOMENTUM CRASHES,2-s2.0-84994527618,
MOMENTUM PROFITS AND THE AUTOCORRELATION OF RETURNS,,MOMENTUM PROFITS AND AUTOCORRELATION IN STOCK RETURNS,2-s2.0-0036115670,
"MONETARY INTERVENTION MITIGATED BANKING PANICS DURING THE GREAT DEPRESSION: QUASI-EXPERIMENTAL EVIDENCE FROM THE FEDERAL RESERVE DISTRICT BORDER IN MISSISSIPPI, 1929 TO 1933",12591,"MONETARY INTERVENTION MITIGATED BANKING PANICS DURING THE GREAT DEPRESSION: QUASI-EXPERIMENTAL EVIDENCE FROM A FEDERAL RESERVE DISTRICT BORDER, 1929-1933",2-s2.0-73949118979,
MONETARY POLICY AND CORPORATE DEFAULT,,MONETARY POLICY AND CORPORATE DEFAULT,2-s2.0-80053572790,
MONETARY POLICY AND STAGFLATION IN THE UK,,MONETARY POLICY AND STAGFLATION IN THE UK,2-s2.0-3142711109,
MONETARY POLICY AS FINANCIAL-STABILITY REGULATION,16883,MONETARY POLICY AS FINANCIAL STABILITY REGULATION,2-s2.0-84856952814,
MONETARY POLICY IN INATTENTIVE ECONOMIES,9491,MONETARY POLICY FOR INATTENTIVE ECONOMIES,2-s2.0-20444432745,
MONETARY POLICY RULES IN THE OPEN ECONOMY: EFFECTS OF WELFARE AND BUSINESS CYCLES,,MONETARY POLICY RULES IN THE OPEN ECONOMY: EFFECTS ON WELFARE AND BUSINESS CYCLES,2-s2.0-0036340855,
MONETARY POLICY STRATEGIES FOR LATIN AMERIC,,MONETARY POLICY STRATEGIES FOR LATIN AMERICA,2-s2.0-0035171249,
"MONETARY POLICY, RISK-TAKING AND PRICING: EVIDENCE FROM A QUASI-NATURAL EXPERIMENT",,"MONETARY POLICY, RISK-TAKING, AND PRICING: EVIDENCE FROM A QUASI-NATURAL EXPERIMENT",2-s2.0-84924561367,
MONETARY POLICY'S ROLE IN EXCHANGE RATE BEHAVIOR,,MONETARY POLICY'S ROLE IN EXCHANGE RATE BEHAVIOR,2-s2.0-0142055330,
MONEY AND CAPITAL,,MONEY AND CAPITAL,2-s2.0-79955923527,
MONITORING MANAGERS: DOES IT MATTER,,MONITORING MANAGERS: DOES IT MATTER?,2-s2.0-84874832977,
MORTGAGE DEBT OVERHANG: REDUCED INVESTMENT BY HOMEOWNERS WITH NEGATIVE EQUITY,,MORTGAGE DEBT OVERHANG: REDUCED INVESTMENT BY HOMEOWNERS AT RISK OF DEFAULT,2-s2.0-85015861244,
MORTGAGE MODIFICATION AND STRATEGIC DEFAULT: EVIDENCE FROM A LEGAL SETTLEMENT WITH COUNTRYWIDE,17065,MORTGAGE MODIFICATION AND STRATEGIC BEHAVIOR: EVIDENCE FROM A LEGAL SETTLEMENT WITH COUNTRYWIDE,2-s2.0-84906969096,
MORTGAGE TIMING,13361,MORTGAGE TIMING,2-s2.0-67849133197,
NASH OR RAMSEY INFLATION IN THE US?,10764,SHOCKS AND GOVERNMENT BELIEFS: THE RISE AND FALL OF AMERICAN INFLATION,2-s2.0-33847678662,
NESTED FORECAST MODEL COMPARISONS: A NEW APPROACH TO TESTING EQUAL ACCURACY,,NESTED FORECAST MODEL COMPARISONS: A NEW APPROACH TO TESTING EQUAL ACCURACY,2-s2.0-84926406988,
NETWORK TOPOLOGY OF VARIANCE DECOMPOSITIONS: MEASURING THE CONNECTEDNESS OF FINANCIAL FIRMS,17490,ON THE NETWORK TOPOLOGY OF VARIANCE DECOMPOSITIONS: MEASURING THE CONNECTEDNESS OF FINANCIAL FIRMS,2-s2.0-84901841234,
NETWORKING OFF MADISON AVENUE,,NETWORKING OFF MADISON AVENUE,2-s2.0-51749084397,
NEW EUROCOIN: TRACKING ECONOMIC GROWTH IN REAL TIME,,NEW EUROCOIN: TRACKING ECONOMIC GROWTH IN REAL TIME,2-s2.0-78650966409,
NEW OR USED INVESTMENT WITH CREDIT CONSTRAINTS,,NEW OR USED? INVESTMENT WITH CREDIT CONSTRAINTS,2-s2.0-36049035583,
"NEWS, NOISE, AND FLUCTUATIONS: AN EMPIRICAL EXPLORATION",15015,"NEWS, NOISE, AND FLUCTUATIONS: AN EMPIRICAL EXPLORATION",2-s2.0-84892382620,
"NEWS, STOCK PRICES AND ECONOMIC FLUCTUATIONS",,"STOCK PRICES, NEWS, AND ECONOMIC FLUCTUATIONS",2-s2.0-33847668476,
NO-ARBITRAGE TAYLOR RULES,13448,NO-ARBITRAGE TAYLOR RULES,,FED
NOISE AND FLUCTUATIONS,15015,"NEWS, NOISE, AND FLUCTUATIONS: AN EMPIRICAL EXPLORATION",2-s2.0-84892382620,
NOISE TRADING AND EXCHANGE RATE REGIMES,7104,NOISE TRADING AND EXCHANGE RATE REGIMES,2-s2.0-18744363321,
NOISY BUSINESS CYCLES,14982,NOISY BUSINESS CYCLES,2-s2.0-77649165513,
NON CONVEXITIES IN THE ADJUSTMENT OF DIFFERENT CAPITAL INPUTS: A FIRM LEVEL INVESTIGATION,,NON-CONVEXITIES IN THE ADJUSTMENT OF DIFFERENT CAPITAL INPUTS: A FIRM-LEVEL INVESTIGATION,2-s2.0-39149091436,
NONCONVEX FACTOR ADJUSTMENT AND THE BUSINESS CYCLE DO NONLINEARITIES MATTER,,NONCONVEX FACTOR ADJUSTMENTS IN EQUILIBRIUM BUSINESS CYCLE MODELS: DO NONLINEARITIES MATTER?,2-s2.0-0037347145,
NONLINEAR FEATURES OF REALIZED FX VOLATILITY,,NONLINEAR FEATURES OF REALIZED FX VOLATILITY,2-s2.0-0036417649,
NONPARAMETRIC ESTIMATION OF SINGLE FACTOR HEATH-JARROW-MORTON TERM STRUCTURE MODELS AND A TEST FOR PATH INDEPENDENCE,,FLEXIBLE TERM STRUCTURE ESTIMATION: WHICH METHOD IS PREFERRED?,2-s2.0-32444441396,
NUMERICAL TECHNIQUES FOR SIMULATED MAXIMUM LIKELIHOOD ESTIMATION OF STOCHASTIC DIFFERENTIAL EQUATIONS,,NUMERICAL TECHNIQUES FOR SIMULATED MAXIMUM LIKELIHOOD ESTIMATION OF STOCHASTIC DIFFERENTIAL EQUATIONS,2-s2.0-0036339461,
OBSERVATION DRIVEN MIXED MEASUREMENT DYNAMIC FACTOR MODELS WITH AN APPLICATION TO CREDIT RISK,,OBSERVATION-DRIVEN MIXED-MEASUREMENT DYNAMIC FACTOR MODELS WITH AN APPLICATION TO CREDIT RISK,2-s2.0-84941588248,
ON THE BENEFITS OF CAPITAL ACCOUNT LIBERALIZATION,,THE ELUSIVE GAINS FROM INTERNATIONAL FINANCIAL INTEGRATION,2-s2.0-33745822013,
ON THE DETERMINATION OF GENERAL SCIENTIFIC MODELS WITH APPLICATION TO ASSET PRICING,,ON THE DETERMINATION OF GENERAL SCIENTIFIC MODELS WITH APPLICATION TO ASSET PRICING,2-s2.0-70350345566,
ON THE EMPIRICS OF SUDDEN STOPS: THE RELEVANCE OF BALANCE-SHEET EFFECTS,10520,,,
ON THE FIT AND FORECASTING PERFORMANCE OF NEW-KEYNESIAN MODELS,,ON THE FIT OF NEW KEYNESIAN MODELS,2-s2.0-34248524655,
ON THE IMPORTANCE OF SECTORAL SHOCKS FOR PRICE-SETTING,,ON THE IMPORTANCE OF SECTORAL AND REGIONAL SHOCKS FOR PRICE-SETTING,2-s2.0-84947976432,
ON THE REAL EFFECTS OF BANK BAILOUTS: MICRO EVIDENCE FROM JAPAN,,ON THE REAL EFFECTS OF BANK BAILOUTS: MICRO EVIDENCE FROM JAPAN,2-s2.0-84872240845,
ON THE SIZE OF THE ACTIVE MANAGEMENT INDUSTRY,15646,ON THE SIZE OF THE ACTIVE MANAGEMENT INDUSTRY,2-s2.0-84869210353,
ON THE SOURCES OF AGGREGATE FLUCTUATIONS IN EMERGING ECONOMIES,15938,ON THE SOURCES OF AGGREGATE FLUCTUATIONS IN EMERGING ECONOMIES,2-s2.0-84886443782,
ON THE SOURCES OF THE GREAT MODERATION,14171,ON THE SOURCES OF THE GREAT MODERATION,2-s2.0-85017102279,
ONE COST OF CHILEAN CAPITAL CONTROLS: INCREASED FINANCIAL CONSTRAINTS FOR SMALLER TRADED FIRMS,,ONE COST OF THE CHILEAN CAPITAL CONTROLS: INCREASED FINANCIAL CONSTRAINTS FOR SMALLER TRADED FIRMS,2-s2.0-33947225592,
ONE REASON COUNTRIES PAY THEIR DEBTS: RENEGOTIATION AND INTERNATIONAL TRADE,8853,ONE REASON COUNTRIES PAY THEIR DEBTS: RENEGOTIATION AND INTERNATIONAL TRADE,2-s2.0-17044402499,
ONE-SIDED REPRESENTATIONS OF GENERALIZED DYNAMIC FACTOR MODELS,,DYNAMIC FACTOR MODELS WITH INFINITE-DIMENSIONAL FACTOR SPACES: ONE-SIDED REPRESENTATIONS,2-s2.0-84922621091,
OPERATING UNDER A LIQUIDITY CRUNCH: THE IMPACT OF LBOS ON PRODUCT AVAILABILITY IN THE SUPERMARKET INDUSTRY,,RUNNING ON EMPTY? FINANCIAL LEVERAGE AND PRODUCT QUALITY IN THE SUPERMARKET INDUSTRY,2-s2.0-79954569600,
OPTIMAL COMMODITY TAXATION WHEN LAND AND STRUCTURES MUST BE TAXED AT THE SAME RATE,,AN ANALYSIS OF CONSTRAINED PROPERTY TAXES IN A SIMPLE OPTIMAL TAX MODEL,2-s2.0-84865719757,
OPTIMAL DYNAMIC TAXATION WITH PRODUCTIVE ASSETS,,OPTIMAL DYNAMIC TAXATION WITH PRODUCTIVE ASSETS,,SED
"OPTIMAL FINANCING CONTRACTS, INVESTOR PROTECTION, AND GROWTH",,"INVESTOR PROTECTION, OPTIMAL INCENTIVES, AND ECONOMIC GROWTH",2-s2.0-4043061418,
OPTIMAL FORECAST COMBINATIONS UNDER GENERAL LOSS FUNCTIONS,,OPTIMAL FORECAST COMBINATIONS UNDER GENERAL LOSS FUNCTIONS AND FORECAST ERROR DISTRIBUTIONS,2-s2.0-3042774758,
OPTIMAL INATTENTION TO THE STOCK MARKET,15010,OPTIMAL INATTENTION TO THE STOCK MARKET WITH INFORMATION COSTS AND TRANSACTIONS COSTS,2-s2.0-84880947894,
OPTIMAL INFERENCE IN REGRESSION MODELS WITH NEARLY INTEGRATED REGRESSORS,,OPTIMAL INFERENCE IN REGRESSION MODELS WITH NEARLY INTEGRATED REGRESSORS,2-s2.0-33646376963,
OPTIMAL INFLATION STABILIZATION IN A MEDIUM-SCALE MACROECONOMIC MODEL,11854,OPTIMAL INFLATION STABILIZATION IN A MEDIUM-SCALE MACROECONOMIC MODEL,,In Chapter
OPTIMAL MARKET TIMING,12014,ANOMALIES,2-s2.0-71949093376,
OPTIMAL MONETARY AND FISCAL POLICY IN A LIQUIDITY TRAP,10840,,,
OPTIMAL MONETARY POLICY AND EXCHANGE RATE VOLATILITY IN A SMALL OPEN ECONOMY,,MONETARY POLICY AND EXCHANGE RATE VOLATILITY IN A SMALL OPEN ECONOMY,2-s2.0-22144493780,
OPTIMAL MONETARY POLICY WITH ENDOGENOUS CAPITAL ACCUMULATION,,OPTIMAL MONETARY POLICY WITH ENDOGENOUS CAPITAL ACCUMULATION,,SED
OPTIMAL MORTGAGE DESIGN,,OPTIMAL MORTGAGE DESIGN,2-s2.0-77954968529,
OPTIMAL TARGET CRITERIA FOR STABILIZATION POLICY,15757,OPTIMAL TARGET CRITERIA FOR STABILIZATION POLICY,2-s2.0-85006744528,
OPTIMAL TESTS FOR NESTED MODEL SELECTION WITH UNDERLYING PARAMETER INSTABILITY,,OPTIMAL TESTS FOR NESTED MODEL SELECTION WITH UNDERLYING PARAMETER INSTABILITY,2-s2.0-33644635383,
OPTIMAL TIME-CONSISTENT MONETARY POLICY IN THE NEW KEYNESIAN MODEL WITH REPEATED SIMULTANEOUS PLAY,,OPTIMAL TIME-CONSISTENT MONETARY POLICY IN THE NEW KEYNESIAN MODEL WITH REPEATED SIMULTANEOUS PLAY,,SED
OPTIMAL VALUATION OF CLAIMS ON NOISY REAL ASSETS: THEORY AND APPLICATION,,OPTIMAL VALUATION OF CLAIMS ON NOISY REAL ASSETS: THEORY AND AN APPLICATION,2-s2.0-0036024887,
OPTIMISM AND ECONOMIC CHOICE,11361,OPTIMISM AND ECONOMIC CHOICE,2-s2.0-34548529599,
ORDER FLOWS AND THE EXCHANGE RATE DISCONNECT PUZZLE,,ORDER FLOWS AND THE EXCHANGE RATE DISCONNECT PUZZLE,2-s2.0-72149111391,
"ORDER FLOWS, EXCHANGE RATES AND ASSET PRICES",,"EXCHANGE RATES, EQUITY PRICES, AND CAPITAL FLOWS",2-s2.0-29344446166,
ORGANIZATIONAL SCOPE AND INVESTMENT: EVIDENCE FROM THE DRUG DEVELOPMENT STRATEGIES OF BIOPHARMACEUTICAL FIRMS,10933,,,
OUT-OF-SAMPLE EXCHANGE RATE PREDICTABILITY WITH TAYLOR RULE FUNDAMENTALS,,OUT-OF-SAMPLE EXCHANGE RATE PREDICTABILITY WITH TAYLOR RULE FUNDAMENTALS,2-s2.0-61349143051,
OUT-OF-SAMPLE FORECAST TESTS ROBUST TO THE WINDOW SIZE CHOICE,,OUT-OF-SAMPLE FORECAST TESTS ROBUST TO THE CHOICE OF WINDOW SIZE,2-s2.0-84864211158,
"OUTPUT COSTS, BOP CRISES AND OPTIMAL INTEREST RATE POLICY",,DELAYING THE INEVITABLE: INTEREST RATE DEFENSE AND BALANCE OF PAYMENTS CRISES,2-s2.0-0038205588,
OWNER-OCCUPIED HOUSING AS INSURANCE AGAINST RENT RISK,9462,OWNER-OCCUPIED HOUSING AS A HEDGE AGAINST RENT RISK,2-s2.0-20444398557,
OWNERSHIP: EVOLUTION AND REGULATION,,OWNERSHIP: EVOLUTION AND REGULATION,2-s2.0-62649173895,
PAYOFF COMPLEMENTARITIES AND FINANCIAL FRAGILITY: EVIDENCE FROM MUTUAL FUND OUTFLOWS,,PAYOFF COMPLEMENTARITIES AND FINANCIAL FRAGILITY: EVIDENCE FROM MUTUAL FUND OUTFLOWS,2-s2.0-77952954058,
PERFORMANCE OF MONETARY POLICY WITH INTERNAL CENTRAL BANK FORECASTING,,PERFORMANCE OF MONETARY POLICY WITH INTERNAL CENTRAL BANK FORECASTING,2-s2.0-10644219749,
PERFORMANCE PRICING IN DEBT CONTRACTS,,PERFORMANCE PRICING IN BANK DEBT CONTRACTS,2-s2.0-27744579339,
PERSISTENCE IN LAW-OF-ONE-PRICE DEVIATIONS: EVIDENCE FROM MICRO-DATA,,PERSISTENCE IN LAW OF ONE PRICE DEVIATIONS: EVIDENCE FROM MICRO-DATA,2-s2.0-43049154975,
PERSUASION IN FINANCE,11838,COARSE THINKING AND PERSUASION,2-s2.0-42149098701,
PHASED-IN TAX CUTS AND ECONOMIC ACTIVITY,10415,PHASED-IN TAX CUTS AND ECONOMIC ACTIVITY,2-s2.0-33847626441,
PITFALLS IN ESTIMATING ASYMMETRIC EFFECTS OF ENERGY PRICE SHOCKS,,ARE THE RESPONSES OF THE U.S. ECONOMY ASYMMETRIC IN ENERGY PRICE INCREASES AND DECREASES?,2-s2.0-84855976079,
POINT OPTIMAL TESTS FOR THE NULL HYPOTHESIS OF COINTEGRATION,,POINT OPTIMAL TESTS OF THE NULL HYPOTHESIS OF COINTEGRATION,2-s2.0-9544246759,
POLICY FOR ECONOMIES WITH DISPERSED INFORMATION,13590,POLICY WITH DISPERSED INFORMATION,2-s2.0-70149101134,
POLICY UNCERTAINTY AND PRECAUTIONARY SAVINGS,13911,POLICY UNCERTAINTY AND HOUSEHOLD SAVINGS,2-s2.0-84874429685,
POLITICS AND GOVERNMENT INVESTMENT UNDER THE '1800S RULE,11030,POLITICS AND EFFICIENCY OF SEPARATING CAPITAL AND ORDINARY GOVERNMENT BUDGETS,2-s2.0-33845366047,
PORTFOLIO CHOICE FOR HOME OWNERS,,PORTFOLIO CHOICES FOR HOMEOWNERS,2-s2.0-20444445518,
PORTFOLIO CHOICE IN A MONETARY OPEN-ECONOMY DSGE MODEL,12214,,,
"PORTFOLIO CHOICE IN RETIREMENT: HEALTH RISK AND THE DEMAND FOR ANNUITIES, HOUSING, AND RISKY ASSETS",15307,"PORTFOLIO CHOICE IN RETIREMENT: HEALTH RISK AND THE DEMAND FOR ANNUITIES, HOUSING, AND RISKY ASSETS",2-s2.0-84968735839,
PORTFOLIO INERTIA AND STOCK MARKET FLUCTUATIONS,,PORTFOLIO INERTIA AND STOCK MARKET FLUCTUATIONS,2-s2.0-77954095998,
POTENTIAL AND NATURAL OUTPUT,,POTENTIAL AND NATURAL OUTPUT,,SED
PRE- AND POST-BREAK PARAMETER INFERENCE,,PRE AND POST BREAK PARAMETER INFERENCE,2-s2.0-84899623168,
PRECAUTIONARY HOARDING OF LIQUIDITY AND INTER-BANK MARKETS: EVIDENCE FROM THE SUB-PRIME CRISIS,16395,PRECAUTIONARY HOARDING OF LIQUIDITY AND INTERBANK MARKETS: EVIDENCE FROM THE SUBPRIME CRISIS,2-s2.0-84871182670,
PRECAUTIONARY SAVINGS AND ENTREPRENEURSHIP,,THE IMPORTANCE OF BUSINESS OWNERS IN ASSESSING THE SIZE OF PRECAUTIONARY SAVINGS,2-s2.0-77955164994,
PREDATORS OR WATCHDOGS BANKERS ON CORPORATE BOARDS IN THE EARLY TWENTIETH CENTURY,,ECONOMIC EFFECTS OF RUNS ON EARLY “SHADOW BANKS”: TRUST COMPANIES AND THE IMPACT OF THE PANIC OF 1907,2-s2.0-84911482860,
PRICE CONVERGENCE: WHAT'S ON TV,15418,"ONE TV, ONE PRICE?",2-s2.0-78449234928,
PRICE PRESSURE AROUND MERGERS,,PRICE PRESSURE AROUND MERGERS,2-s2.0-1642357960,
PRICE RIGIDITY IN GERMAN MANUFACTURING,,PRICE ADJUSTMENT IN GERMAN MANUFACTURING: EVIDENCE FROM TWO MERGED SURVEYS,2-s2.0-77949720298,
PRICE SETTING BEHAVIOUR IN SPAIN: STYLISED FACTS USING CONSUMER PRICE MICRO DATA,,PRICE-SETTING BEHAVIOUR IN SPAIN: EVIDENCE FROM MICRO PPI DATA,2-s2.0-77949759596,
PRIOR SELECTION FOR VECTOR AUTOREGRESSIONS,18467,PRIOR SELECTION FOR VECTOR AUTOREGRESSIONS,2-s2.0-84928539857,
PRIVATE AND PUBLIC MERGER WAVES,,PRIVATE AND PUBLIC MERGER WAVES,2-s2.0-84883710816,
PRIVATE EQUITY AND LONG-RUN INVESTMENT: THE CASE OF INNOVATION,14623,PRIVATE EQUITY AND LONG-RUN INVESTMENT: THE CASE OF INNOVATION,2-s2.0-79952797771,
"PRIVATE EQUITY PERFORMANCE: RETURNS, PERSISTENCE AND CAPITAL FLOWS",,"PRIVATE EQUITY PERFORMANCE: RETURNS, PERSISTENCE, AND CAPITAL FLOWS",2-s2.0-23944516772,
"PRIVATE EQUITY, JOBS AND PRODUCTIVITY",19458,"PRIVATE EQUITY, JOBS, AND PRODUCTIVITY",2-s2.0-84916900227,
